Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.111
10.000 90.435 0.117
20.000 91.728 0.137
30.000 93.841 0.185
40.000 96.718 0.222
50.000 100.289 0.209
60.000 104.478 0.162
70.000 109.207 0.122
80.000 114.404 0.116
90.000 120.000 0.209
100.000 125.932 0.352
110.000 132.145 0.408
120.000 138.590 0.371
130.000 145.225 0.245
140.000 152.009 0.092
150.000 158.909 0.212
160.000 165.894 0.398
170.000 172.933 0.528
180.000 180.000 0.566
