Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.064
10.000 90.435 0.061
20.000 91.728 0.066
30.000 93.841 0.064
40.000 96.718 0.062
50.000 100.289 0.061
60.000 104.478 0.075
70.000 109.207 0.080
80.000 114.404 0.098
90.000 120.000 0.105
100.000 125.932 0.123
110.000 132.145 0.137
120.000 138.590 0.157
130.000 145.225 0.168
140.000 152.009 0.174
150.000 158.909 0.196
160.000 165.894 0.190
170.000 172.933 0.209
180.000 180.000 0.205
