Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 0.166
20.000 91.728 0.180
30.000 93.841 0.165
40.000 96.718 0.131
50.000 100.289 0.225
60.000 104.478 0.275
70.000 109.207 0.319
80.000 114.404 0.336
90.000 120.000 0.325
100.000 125.932 0.276
110.000 132.145 0.182
120.000 138.590 0.040
130.000 145.225 0.140
140.000 152.009 0.321
150.000 158.909 0.502
160.000 165.894 0.627
170.000 172.933 0.721
180.000 180.000 0.743
