Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 0.251
20.000 91.728 0.415
30.000 93.841 0.384
40.000 96.718 0.288
50.000 100.289 0.328
60.000 104.478 0.345
70.000 109.207 0.224
80.000 114.404 0.126
90.000 120.000 0.029
100.000 125.932 0.048
110.000 132.145 0.115
120.000 138.590 0.219
130.000 145.225 0.317
140.000 152.009 0.408
150.000 158.909 0.472
160.000 165.894 0.539
170.000 172.933 0.490
180.000 180.000 0.583
