Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.056
10.000 90.435 0.058
20.000 91.728 0.072
30.000 93.841 0.065
40.000 96.718 0.070
50.000 100.289 0.079
60.000 104.478 0.100
70.000 109.207 0.100
80.000 114.404 0.095
90.000 120.000 0.138
100.000 125.932 0.161
110.000 132.145 0.162
120.000 138.590 0.178
130.000 145.225 0.236
140.000 152.009 0.266
150.000 158.909 0.245
160.000 165.894 0.285
170.000 172.933 0.274
180.000 180.000 0.353
